"","stimulus","condition_1","condition_2","stim_id","target","trials.thisN","participant","accuracy","condition","find_target.time"
"1","C_92","CON","INCON",1,"electric iron",0,1,1,"INCON",1.59011781599838
"2","C_68","INCON","CON",10,"dish soap",1,1,1,"CON",1.32358004900743
"3","C_4","INCON","CON",8,"brush",2,1,1,"CON",1.46301920700353
"4","C_20","INCON","CON",6,"egg",3,1,0,"CON",0.88753918200382
"5","C_120","INCON","CON",4,"tire",4,1,1,"CON",1.99426363299426
"6","C_104","INCON","CON",2,"belt",5,1,1,"CON",1.87256596799125
"7","C_10","CON","INCON",3,"bread knife",6,1,0,"INCON",4.92651745298645
"8","C_43","CON","INCON",7,"clock",7,1,1,"INCON",1.87303615400742
"9","C_12","CON","INCON",5,"dish scrubber",8,1,1,"INCON",1.86978872900363
"10","C_62","CON","INCON",9,"shampoo",9,1,1,"INCON",2.35849679500097
