"","stimulus","condition_1","condition_2","stim_id","target","trials.thisN","participant","accuracy","condition","find_target.time"
"1","C_12","CON","INCON",5,"dish scrubber",0,3,1,"INCON",1.25972872700368
"2","C_104","INCON","CON",2,"belt",1,3,1,"CON",1.50103475499782
"3","C_4","INCON","CON",8,"brush",2,3,0,"CON",1.31982181100466
"4","C_10","CON","INCON",3,"bread knife",3,3,1,"INCON",3.07889353400969
"5","C_20","INCON","CON",6,"egg",4,3,1,"CON",1.27826455900504
"6","C_62","CON","INCON",9,"shampoo",5,3,0,"INCON",1.51711353199789
"7","C_120","INCON","CON",4,"tire",6,3,1,"CON",2.2201275749976
"8","C_92","CON","INCON",1,"electric iron",7,3,1,"INCON",1.22761973799788
"9","C_68","INCON","CON",10,"dish soap",8,3,1,"CON",1.32676740500028
"10","C_43","CON","INCON",7,"clock",9,3,1,"INCON",1.45919076199061
